TimeStep,CellID,qw,qo
111825,1224,0.0771934,3.92281
111850,1224,0.0804256,3.91957
111875,1224,0.0836207,3.91638
111900,1224,0.0867748,3.91323
111925,1224,0.0898849,3.91012
111950,1224,0.0929488,3.90705
111975,1224,0.0959647,3.90404
112000,1224,0.0989318,3.90107
112025,1224,0.101849,3.89815
112050,1224,0.104717,3.89528
112075,1224,0.107536,3.89246
112100,1224,0.110306,3.88969
112125,1224,0.113027,3.88697
112150,1224,0.115702,3.8843
112175,1224,0.11833,3.88167
112200,1224,0.120913,3.87909
112225,1224,0.123453,3.87655
112250,1224,0.125951,3.87405
112275,1224,0.128407,3.87159
112300,1224,0.130824,3.86918
112325,1224,0.133202,3.8668
112350,1224,0.135544,3.86446
112375,1224,0.13785,3.86215
112400,1224,0.140121,3.85988
112425,1224,0.14236,3.85764
112450,1224,0.144567,3.85543
112475,1224,0.146744,3.85326
112500,1224,0.148891,3.85111
112525,1224,0.151011,3.84899
112550,1224,0.153104,3.8469
112575,1224,0.155171,3.84483
112600,1224,0.157214,3.84279
112625,1224,0.159234,3.84077
112650,1224,0.161231,3.83877
112675,1224,0.163208,3.83679
112700,1224,0.165165,3.83484
112725,1224,0.167102,3.8329
112750,1224,0.169022,3.83098
112775,1224,0.170925,3.82907
112800,1224,0.172813,3.82719
112825,1224,0.174686,3.82531
112850,1224,0.176545,3.82345
112875,1224,0.178392,3.82161
112900,1224,0.180228,3.81977
112925,1224,0.182053,3.81795
112950,1224,0.18387,3.81613
112975,1224,0.185678,3.81432
113000,1224,0.187479,3.81252
113025,1224,0.189274,3.81073
113050,1224,0.191066,3.80893
113075,1224,0.192853,3.80715
113100,1224,0.194639,3.80536
113125,1224,0.196424,3.80358
113150,1224,0.19821,3.80179
113175,1224,0.199998,3.8
113200,1224,0.201789,3.79821
113225,1224,0.203585,3.79641
113250,1224,0.205388,3.79461
113275,1224,0.207199,3.7928
113300,1224,0.209019,3.79098
113325,1224,0.210851,3.78915
113350,1224,0.212697,3.7873
113375,1224,0.214557,3.78544
113400,1224,0.216435,3.78357
113425,1224,0.218331,3.78167
113450,1224,0.220249,3.77975
113475,1224,0.222189,3.77781
113500,1224,0.224155,3.77584
113525,1224,0.226149,3.77385
113550,1224,0.228172,3.77183
113575,1224,0.230228,3.76977
113600,1224,0.232319,3.76768
113625,1224,0.234447,3.76555
113650,1224,0.236616,3.76338
113675,1224,0.238826,3.76117
113700,1224,0.241083,3.75892
113725,1224,0.243388,3.75661
113750,1224,0.245744,3.75426
113775,1224,0.248154,3.75185
113800,1224,0.250622,3.74938
113825,1224,0.25315,3.74685
113850,1224,0.255742,3.74426
113875,1224,0.258401,3.7416
113900,1224,0.26113,3.73887
113925,1224,0.263933,3.73607
113950,1224,0.266813,3.73319
113975,1224,0.269774,3.73023
114000,1224,0.272819,3.72718
114025,1224,0.275951,3.72405
114050,1224,0.279175,3.72083
114075,1224,0.282493,3.71751
114100,1224,0.285909,3.71409
114125,1224,0.289427,3.71057
114150,1224,0.29305,3.70695
114175,1224,0.296782,3.70322
114200,1224,0.300625,3.69938
114225,1224,0.304582,3.69542
114250,1224,0.308656,3.69134
114275,1224,0.312851,3.68715
114300,1224,0.317167,3.68283
114325,1224,0.321608,3.67839
114350,1224,0.326175,3.67383
114375,1224,0.330868,3.66913
114400,1224,0.33569,3.66431
114425,1224,0.34064,3.65936
114450,1224,0.345718,3.65428
114475,1224,0.350924,3.64908
114500,1224,0.356256,3.64374
114525,1224,0.361712,3.63829
114550,1224,0.367291,3.63271
114575,1224,0.372988,3.62701
114600,1224,0.378801,3.6212
114625,1224,0.384725,3.61528
114650,1224,0.390755,3.60924
114675,1224,0.396886,3.60311
114700,1224,0.403111,3.59689
114725,1224,0.409425,3.59057
114750,1224,0.41582,3.58418
114775,1224,0.422289,3.57771
114800,1224,0.428824,3.57118
114825,1224,0.435418,3.56458
114850,1224,0.442061,3.55794
114875,1224,0.448746,3.55125
114900,1224,0.455464,3.54454
114925,1224,0.462207,3.53779
114950,1224,0.468966,3.53103
114975,1224,0.475734,3.52427
115000,1224,0.482502,3.5175
115025,1224,0.489262,3.51074
115050,1224,0.496007,3.50399
115075,1224,0.50273,3.49727
115100,1224,0.509425,3.49058
115125,1224,0.516084,3.48392
115150,1224,0.522703,3.4773
115175,1224,0.529275,3.47072
115200,1224,0.535796,3.4642
115225,1224,0.542262,3.45774
115250,1224,0.548668,3.45133
115275,1224,0.55501,3.44499
115300,1224,0.561287,3.43871
115325,1224,0.567496,3.4325
115350,1224,0.573633,3.42637
115375,1224,0.579698,3.4203
