So,Sw,Sg,Cs,MRF,xD
0.467239,0.223403,0.309358,0.000257958,1.0,0.2682682682682683
0.467159,0.223353,0.309488,0.000210088,1.0,0.26926926926926925
0.46704,0.223277,0.309683,0.000170514,1.0,0.27027027027027023
0.466913,0.223196,0.30989,0.000137925,1.0,0.27127127127127126
0.46681,0.223129,0.310061,0.000111187,1.0,0.27227227227227224
0.466747,0.223087,0.310166,8.93295e-05,1.0,0.2732732732732732
0.466729,0.223074,0.310197,7.15244e-05,1.0,0.2742742742742743
0.466751,0.223085,0.310164,5.70718e-05,1.0,0.2752752752752753
0.466801,0.223113,0.310086,4.53822e-05,1.0,0.27627627627627627
0.466861,0.223148,0.309991,3.59617e-05,1.0,0.2772772772772773
0.46692,0.223181,0.309899,2.83976e-05,1.0,0.2782782782782783
0.466965,0.223206,0.309829,2.23466e-05,1.0,0.27927927927927926
0.466991,0.22322,0.309789,1.75241e-05,1.0,0.2802802802802803
0.466997,0.223221,0.309782,1.36951e-05,1.0,0.28128128128128127
0.466987,0.223211,0.309802,1.06661e-05,1.0,0.28228228228228225
0.466966,0.223196,0.309839,8.27878e-06,1.0,0.2832832832832833
0.466941,0.223178,0.309881,6.40404e-06,1.0,0.28428428428428426
0.466918,0.223162,0.30992,4.93711e-06,1.0,0.28528528528528524
0.466902,0.223151,0.309947,3.79337e-06,1.0,0.2862862862862863
0.466895,0.223145,0.30996,2.90477e-06,1.0,0.28728728728728725
0.466896,0.223144,0.30996,2.21682e-06,1.0,0.28828828828828823
0.466903,0.223148,0.309949,1.68609e-06,1.0,0.2892892892892893
0.466914,0.223154,0.309932,1.2781e-06,1.0,0.2902902902902903
0.466925,0.22316,0.309915,9.65566e-07,1.0,0.2912912912912913
0.466934,0.223165,0.309901,7.27e-07,1.0,0.2922922922922923
0.46694,0.223167,0.309893,5.45539e-07,1.0,0.2932932932932933
0.466942,0.223167,0.309891,4.08001e-07,1.0,0.29429429429429427
0.466941,0.223164,0.309895,3.04119e-07,1.0,0.2952952952952953
0.466938,0.22316,0.309903,2.25932e-07,1.0,0.2962962962962963
0.466934,0.223154,0.309911,1.67289e-07,1.0,0.2972972972972973
0.466932,0.223149,0.309919,1.23458e-07,1.0,0.2982982982982983
0.466931,0.223145,0.309924,9.08095e-08,1.0,0.29929929929929927
0.466933,0.223141,0.309926,6.65747e-08,1.0,0.3003003003003003
0.466936,0.223139,0.309925,4.86468e-08,1.0,0.3013013013013013
0.466942,0.223137,0.309921,3.54297e-08,1.0,0.30230230230230226
0.466948,0.223136,0.309916,2.5719e-08,1.0,0.3033033033033033
0.466955,0.223135,0.30991,1.86086e-08,1.0,0.3043043043043043
0.466961,0.223134,0.309905,1.34199e-08,1.0,0.3053053053053053
0.466967,0.223132,0.309901,9.64635e-09,1.0,0.30630630630630634
0.466972,0.22313,0.309898,6.91131e-09,1.0,0.3073073073073073
0.466975,0.223127,0.309898,4.93564e-09,1.0,0.3083083083083083
0.466978,0.223125,0.309898,3.5133e-09,1.0,0.30930930930930933
0.46698,0.223122,0.309899,2.49274e-09,1.0,0.3103103103103103
0.466981,0.223119,0.3099,1.76293e-09,1.0,0.3113113113113113
0.466983,0.223116,0.309901,1.24277e-09,1.0,0.3123123123123123
0.466984,0.223114,0.309902,8.73258e-10,1.0,0.3133133133133133
0.466986,0.223112,0.309902,6.11643e-10,1.0,0.3143143143143143
0.466988,0.223111,0.309902,4.27028e-10,1.0,0.3153153153153153
0.46699,0.22311,0.309901,2.97181e-10,1.0,0.3163163163163163
0.466991,0.223109,0.3099,2.06155e-10,1.0,0.31731731731731727
0.466993,0.223108,0.309899,1.42554e-10,1.0,0.3183183183183183
0.466994,0.223107,0.309899,9.826e-11,1.0,0.3193193193193193
0.466995,0.223106,0.309899,6.7513e-11,1.0,0.32032032032032026
0.466996,0.223105,0.309899,4.624e-11,1.0,0.32132132132132135
0.466997,0.223104,0.309899,3.1569e-11,1.0,0.32232232232232233
0.466997,0.223103,0.3099,2.1485e-11,1.0,0.3233233233233233
0.466998,0.223101,0.309901,1.4576e-11,1.0,0.32432432432432434
0.466998,0.2231,0.309901,9.857e-12,1.0,0.3253253253253253
0.466999,0.223099,0.309902,6.645e-12,1.0,0.3263263263263263
0.467,0.223097,0.309903,4.466e-12,1.0,0.32732732732732733
0.467001,0.223096,0.309903,2.992e-12,1.0,0.3283283283283283
0.467002,0.223094,0.309904,1.998e-12,1.0,0.3293293293293293
0.467003,0.223093,0.309904,1.33e-12,1.0,0.3303303303303303
0.467004,0.223091,0.309905,8.83e-13,1.0,0.3313313313313313
0.467005,0.223089,0.309906,5.84e-13,1.0,0.3323323323323323
0.467006,0.223087,0.309906,3.85e-13,1.0,0.3333333333333333
0.467008,0.223085,0.309907,2.53e-13,1.0,0.3343343343343343
0.467009,0.223083,0.309908,1.66e-13,1.0,0.3353353353353353
0.46701,0.223081,0.309909,1.08e-13,1.0,0.33633633633633636
0.467011,0.223079,0.30991,7.1e-14,1.0,0.33733733733733734
