So,Sw,Sg,Cs,MRF,xD
0.467079,0.223016,0.309905,6.25944e-08,1.0,0.3763763763763764
0.46708,0.223014,0.309906,5.90914e-08,1.0,0.37737737737737737
0.467082,0.223011,0.309906,5.57878e-08,1.0,0.37837837837837834
0.467084,0.223009,0.309907,5.26722e-08,1.0,0.3793793793793794
0.467086,0.223006,0.309908,4.97337e-08,1.0,0.38038038038038036
0.467088,0.223004,0.309908,4.69619e-08,1.0,0.38138138138138133
0.46709,0.223002,0.309909,4.43472e-08,1.0,0.38238238238238237
0.467091,0.222999,0.309909,4.18806e-08,1.0,0.3833833833833834
0.467093,0.222997,0.30991,3.95534e-08,1.0,0.3843843843843844
0.467095,0.222994,0.309911,3.73577e-08,1.0,0.3853853853853854
0.467097,0.222992,0.309911,3.52858e-08,1.0,0.3863863863863864
0.467099,0.222989,0.309912,3.33307e-08,1.0,0.38738738738738737
0.467101,0.222987,0.309912,3.14857e-08,1.0,0.3883883883883884
0.467102,0.222985,0.309913,2.97444e-08,1.0,0.3893893893893894
0.467104,0.222983,0.309913,2.81008e-08,1.0,0.39039039039039036
0.467106,0.22298,0.309914,2.65495e-08,1.0,0.3913913913913914
0.467108,0.222978,0.309914,2.50852e-08,1.0,0.3923923923923924
0.46711,0.222976,0.309914,2.37028e-08,1.0,0.39339339339339335
0.467112,0.222974,0.309914,2.23977e-08,1.0,0.3943943943943944
0.467114,0.222972,0.309914,2.11656e-08,1.0,0.39539539539539537
0.467116,0.22297,0.309914,2.00022e-08,1.0,0.39639639639639634
0.467118,0.222968,0.309914,1.89037e-08,1.0,0.3973973973973974
0.467121,0.222966,0.309914,1.78664e-08,1.0,0.39839839839839836
0.467123,0.222964,0.309914,1.68868e-08,1.0,0.3993993993993994
0.467125,0.222962,0.309913,1.59617e-08,1.0,0.4004004004004004
0.467127,0.22296,0.309913,1.50879e-08,1.0,0.4014014014014014
0.46713,0.222958,0.309913,1.42626e-08,1.0,0.4024024024024024
0.467132,0.222956,0.309912,1.34831e-08,1.0,0.4034034034034034
0.467134,0.222954,0.309912,1.27468e-08,1.0,0.4044044044044044
0.467136,0.222952,0.309911,1.20512e-08,1.0,0.4054054054054054
0.467139,0.22295,0.309911,1.13941e-08,1.0,0.4064064064064064
0.467141,0.222948,0.309911,1.07732e-08,1.0,0.4074074074074074
